task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	fb/e7aae0	626774	sketch (Sketch on SRS019025)	COMPLETED	0	2024-09-18 04:52:29.733	23.9s	23.7s	468.0%	2.9 GB	12 GB	3.6 GB	736.1 MB
10	e9/b68ae4	629325	sketch (Sketch on SRS019081)	COMPLETED	0	2024-09-18 04:52:29.993	24s	23.9s	399.5%	3 GB	12 GB	3.8 GB	781.8 MB
7	6d/397fc5	627926	sketch (Sketch on SRS019063)	COMPLETED	0	2024-09-18 04:52:29.870	25.4s	25.3s	370.3%	2.4 GB	12 GB	3.2 GB	641.5 MB
39	65/41b370	627817	sketch (Sketch on SRS013942)	COMPLETED	0	2024-09-18 04:52:29.859	25.6s	25.5s	455.7%	3.9 GB	12 GB	3.6 GB	735.4 MB
14	1b/401e59	628483	sketch (Sketch on SRS055495)	COMPLETED	0	2024-09-18 04:52:29.916	26.5s	26.5s	395.9%	3.3 GB	12 GB	3 GB	606.5 MB
16	86/72a8df	627176	sketch (Sketch on SRS014107)	COMPLETED	0	2024-09-18 04:52:29.802	28.7s	28.6s	470.2%	4.8 GB	12 GB	4.5 GB	932.4 MB
42	45/3ac7e3	628075	sketch (Sketch on SRS044366)	COMPLETED	0	2024-09-18 04:52:29.880	28.9s	28.8s	473.6%	5.1 GB	12 GB	4.8 GB	1001.2 MB
57	44/18eb62	626933	sketch (Sketch on SRS019120)	COMPLETED	0	2024-09-18 04:52:29.769	29.8s	29.7s	470.0%	3.2 GB	12 GB	3.6 GB	752.8 MB
23	0a/c5ce04	629385	sketch (Sketch on SRS065335)	COMPLETED	0	2024-09-18 04:52:29.998	29.7s	29.6s	382.2%	3.1 GB	12 GB	3.2 GB	647 MB
41	59/5b7272	629613	sketch (Sketch on SRS015055)	COMPLETED	0	2024-09-18 04:52:30.017	30.4s	30.3s	495.5%	4.2 GB	12 GB	3.9 GB	829 MB
63	03/002a96	629554	sketch (Sketch on SRS064493)	COMPLETED	0	2024-09-18 04:52:30.012	30.4s	30.3s	413.7%	5.4 GB	12 GB	4.7 GB	994.7 MB
43	12/29d386	629205	sketch (Sketch on SRS047265)	COMPLETED	0	2024-09-18 04:52:29.981	32.6s	32.5s	499.3%	6.4 GB	12 GB	5.4 GB	1.2 GB
60	00/5af6de	626865	sketch (Sketch on SRS014477)	COMPLETED	0	2024-09-18 04:52:29.755	33.9s	33.8s	513.2%	5.1 GB	12 GB	4.6 GB	1022.9 MB
67	87/624a16	626805	sketch (Sketch on SRS024482)	COMPLETED	0	2024-09-18 04:52:29.741	34.7s	34.5s	448.8%	5.6 GB	12 GB	5.5 GB	1.2 GB
11	36/30e5a8	628517	sketch (Sketch on SRS014692)	COMPLETED	0	2024-09-18 04:52:29.920	36s	35.8s	489.5%	6.6 GB	12 GB	5.8 GB	1.3 GB
